Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,temp_diff,power_proxy,wear_category,high_wear,high_torque,low_speed,strain_index,overheat,failure_mode_count
L,299.1,308.2,1319,60.3,36,0,0,0,0,0,0,0,9.1,8.3283,Fresh(0-50),0,1,1,1,0,0
L,299.1,308.3,1431,52.3,38,0,0,0,0,0,0,0,9.2,7.8368,Fresh(0-50),0,1,0,0,0,0
H,299.1,308.3,1521,36.5,40,0,0,0,0,0,0,2,9.2,5.8132,Fresh(0-50),0,0,0,0,0,0
M,299.1,308.2,1435,45.2,45,0,0,0,0,0,0,1,9.1,6.7918,Fresh(0-50),0,0,0,0,0,0
L,299.1,308.3,1533,42.4,48,0,0,0,0,0,0,0,9.2,6.8062,Fresh(0-50),0,0,0,0,0,0
M,299.2,308.4,1529,43.0,50,0,0,0,0,0,0,1,9.2,6.8845,Fresh(0-50),0,0,0,0,0,0
M,299.2,308.4,1415,43.5,53,0,0,0,0,0,0,1,9.2,6.4453,Low(51-100),0,0,1,0,0,0
M,299.2,308.4,1330,51.2,56,0,0,0,0,0,0,1,9.2,7.1305,Low(51-100),0,1,1,1,0,0
L,299.2,308.5,1381,60.6,59,0,0,0,0,0,0,0,9.3,8.7632,Low(51-100),0,1,1,1,0,0
L,299.2,308.5,1370,52.4,61,0,0,0,0,0,0,0,9.3,7.5171,Low(51-100),0,1,1,1,0,0
L,299.2,308.5,1438,46.6,63,0,0,0,0,0,0,0,9.3,7.0168,Low(51-100),0,0,0,0,0,0
L,299.3,308.6,1314,48.2,65,0,0,0,0,0,0,0,9.3,6.6319,Low(51-100),0,1,1,1,0,0
L,299.3,308.6,1437,48.1,67,0,0,0,0,0,0,0,9.3,7.2377,Low(51-100),0,1,0,0,0,0
L,299.2,308.5,1821,26.1,69,0,0,0,0,0,0,0,9.3,4.9768,Low(51-100),0,0,0,0,0,0
M,299.3,308.6,1448,52.1,71,0,0,0,0,0,0,1,9.3,7.8996,Low(51-100),0,1,0,0,0,0
L,299.3,308.5,1589,32.7,74,0,0,0,0,0,0,0,9.2,5.4409,Low(51-100),0,0,0,0,0,0
L,299.3,308.6,1520,33.7,76,0,0,0,0,0,0,0,9.3,5.3638,Low(51-100),0,0,0,0,0,0
L,299.3,308.6,1605,37.0,78,0,0,0,0,0,0,0,9.3,6.2183,Low(51-100),0,0,0,0,0,0
L,299.3,308.7,1393,54.2,80,0,0,0,0,0,0,0,9.4,7.9058,Low(51-100),0,1,1,1,0,0
H,299.3,308.7,1408,44.4,82,0,0,0,0,0,0,2,9.4,6.5461,Low(51-100),0,0,1,0,0,0
M,299.3,308.7,1459,35.6,87,0,0,0,0,0,0,1,9.4,5.4388,Low(51-100),0,0,0,0,0,0
L,299.4,308.7,1525,39.0,90,0,0,0,0,0,0,0,9.3,6.2277,Low(51-100),0,0,0,0,0,0
L,299.4,308.8,1390,57.0,92,0,0,0,0,0,0,0,9.4,8.2963,Low(51-100),0,1,1,1,0,0
L,299.3,308.7,1536,38.9,94,0,0,0,0,0,0,0,9.4,6.2566,Low(51-100),0,0,0,0,0,0
L,299.4,308.7,1459,47.6,96,0,0,0,0,0,0,0,9.3,7.2721,Low(51-100),0,1,0,0,0,0
L,299.2,308.5,1387,51.1,98,0,0,0,0,0,0,0,9.3,7.4215,Low(51-100),0,1,1,1,0,0
L,299.2,308.5,1378,53.4,100,0,0,0,0,0,0,0,9.3,7.7053,Low(51-100),0,1,1,1,0,0
L,299.4,308.7,1381,56.7,102,0,0,0,0,0,0,0,9.3,8.1992,Medium(101-150),0,1,1,1,0,0
M,299.4,308.7,1289,60.5,104,0,0,0,0,0,0,1,9.3,8.1659,Medium(101-150),0,1,1,1,0,0
L,299.4,308.6,1746,26.8,107,0,0,0,0,0,0,0,9.2,4.8998,Medium(101-150),0,0,0,0,0,0
M,299.4,308.6,1541,39.1,109,0,0,0,0,0,0,1,9.2,6.3092,Medium(101-150),0,0,0,0,0,0
L,299.4,308.7,1504,37.8,112,0,0,0,0,0,0,0,9.3,5.953,Medium(101-150),0,0,0,0,0,0
M,299.5,308.7,1321,51.9,114,0,0,0,0,0,0,1,9.2,7.179,Medium(101-150),0,1,1,1,0,0
M,299.5,308.8,1886,20.9,117,0,0,0,0,0,0,1,9.3,4.1275,Medium(101-150),0,0,0,0,0,0
L,299.6,308.9,1422,53.2,120,0,0,0,0,0,0,0,9.3,7.9215,Medium(101-150),0,1,1,1,0,0
L,299.5,308.9,1520,38.3,122,0,0,0,0,0,0,0,9.4,6.0959,Medium(101-150),0,0,0,0,0,0
L,299.4,308.8,1627,32.6,124,0,0,0,0,0,0,0,9.4,5.5539,Medium(101-150),0,0,0,0,0,0
L,299.4,308.7,1512,37.2,126,0,0,0,0,0,0,0,9.3,5.8897,Medium(101-150),0,0,0,0,0,0
L,299.4,308.7,1553,42.7,128,0,0,0,0,0,0,0,9.3,6.9438,Medium(101-150),0,0,0,0,0,0
L,299.3,308.7,1802,26.0,130,0,0,0,0,0,0,0,9.4,4.906,Medium(101-150),0,0,0,0,0,0
L,299.3,308.6,1482,37.6,132,0,0,0,0,0,0,0,9.3,5.8349,Medium(101-150),0,0,0,0,0,0
L,299.4,308.7,1446,62.9,134,1,0,0,1,0,0,0,9.3,9.5239,Medium(101-150),0,1,0,0,0,1
L,299.3,308.6,1371,50.5,136,0,0,0,0,0,0,0,9.3,7.2498,Medium(101-150),0,1,1,1,0,0
M,299.2,308.6,1586,35.7,138,0,0,0,0,0,0,1,9.4,5.9288,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1515,39.8,141,0,0,0,0,0,0,0,9.3,6.3138,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1374,53.6,143,0,0,0,0,0,0,0,9.3,7.7117,Medium(101-150),0,1,1,1,0,0
L,299.1,308.5,1455,39.8,145,0,0,0,0,0,0,0,9.4,6.0638,Medium(101-150),0,0,0,0,0,0
H,299.2,308.5,1342,47.5,147,0,0,0,0,0,0,2,9.3,6.6749,Medium(101-150),0,1,1,1,0,0
L,299.1,308.6,1260,57.8,152,0,0,0,0,0,0,0,9.5,7.626,High(151-200),0,1,1,1,0,0
H,299.0,308.5,1623,33.5,154,0,0,0,0,0,0,2,9.5,5.6932,High(151-200),0,0,0,0,0,0
L,299.1,308.5,1371,55.5,159,0,0,0,0,0,0,0,9.4,7.9676,High(151-200),0,1,1,1,0,0
L,299.1,308.6,1611,31.4,161,0,0,0,0,0,0,0,9.5,5.2969,High(151-200),0,0,0,0,0,0
M,299.0,308.4,1535,47.5,163,0,0,0,0,0,0,1,9.4,7.6348,High(151-200),0,1,0,0,0,0
M,299.1,308.6,1491,38.5,166,0,0,0,0,0,0,1,9.5,6.0108,High(151-200),0,0,0,0,0,0
M,299.1,308.6,1441,36.2,169,0,0,0,0,0,0,1,9.5,5.4622,High(151-200),0,0,0,0,0,0
M,299.1,308.8,1725,26.6,172,0,0,0,0,0,0,1,9.7,4.8047,High(151-200),0,0,0,0,0,0
L,299.2,308.9,1368,47.2,175,0,0,0,0,0,0,0,9.7,6.7612,High(151-200),0,1,1,1,0,0
L,299.2,308.9,1526,37.9,177,0,0,0,0,0,0,0,9.7,6.0561,High(151-200),0,0,0,0,0,0
L,299.2,308.8,1542,39.2,179,0,0,0,0,0,0,0,9.6,6.3295,High(151-200),0,0,0,0,0,0
L,299.2,308.8,1605,31.1,181,0,0,0,0,0,0,0,9.6,5.2268,High(151-200),0,0,0,0,0,0
L,299.2,308.8,1405,51.4,183,0,0,0,0,0,0,0,9.6,7.562,High(151-200),0,1,1,1,0,0
M,299.2,308.8,1700,33.5,185,0,0,0,0,0,0,1,9.6,5.9634,High(151-200),0,0,0,0,0,0
H,299.2,308.8,1440,39.1,188,0,0,0,0,0,0,2,9.6,5.8957,High(151-200),0,0,0,0,0,0
M,299.2,308.8,1314,52.5,193,0,0,0,0,0,0,1,9.6,7.2236,High(151-200),0,1,1,1,0,0
L,299.2,308.7,1514,41.9,196,0,0,0,0,0,0,0,9.5,6.6426,High(151-200),0,0,0,0,0,0
M,299.2,308.7,1401,47.0,198,0,0,0,0,0,0,1,9.5,6.895,High(151-200),0,1,1,1,0,0
L,299.3,308.8,1636,29.9,201,0,0,0,0,0,0,0,9.5,5.1221,Critical(>200),1,0,0,0,0,0
L,299.3,308.8,1603,33.9,203,0,0,0,0,0,0,0,9.5,5.6902,Critical(>200),1,0,0,0,0,0
M,299.4,308.7,1487,52.6,205,0,0,0,0,0,0,1,9.3,8.1902,Critical(>200),1,1,0,0,0,0
M,299.3,308.7,1420,50.3,208,0,0,0,0,0,0,1,9.4,7.4792,Critical(>200),1,1,1,1,0,0
L,299.3,308.7,1579,36.3,211,0,0,0,0,0,0,0,9.4,6.0019,Critical(>200),1,0,0,0,0,0
L,299.3,308.7,1484,40.5,213,0,0,0,0,0,0,0,9.4,6.2934,Critical(>200),1,0,0,0,0,0
M,299.3,308.7,1390,49.3,215,0,0,0,0,0,0,1,9.4,7.1756,Critical(>200),1,1,1,1,0,0
L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0,0,9.3,7.7678,Critical(>200),1,1,1,1,0,1
L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0,0,9.3,7.2724,Critical(>200),1,1,1,1,0,1
L,299.2,308.5,1445,45.2,222,0,0,0,0,0,0,0,9.3,6.8392,Critical(>200),1,0,0,0,0,0
L,299.2,308.4,1445,43.5,224,0,0,0,0,0,0,0,9.2,6.5819,Critical(>200),1,0,0,0,0,0
L,299.2,308.4,1509,39.4,0,0,0,0,0,0,0,0,9.2,6.2256,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.4,1434,46.8,2,0,0,0,0,0,0,0,9.2,7.0274,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.4,1877,23.9,4,0,0,0,0,0,0,0,9.2,4.6974,Fresh(0-50),0,0,0,0,0,0
L,299.3,308.3,1651,28.0,6,0,0,0,0,0,0,0,9.0,4.8406,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.2,1466,41.3,8,0,0,0,0,0,0,0,9.0,6.3399,Fresh(0-50),0,0,0,0,0,0
L,299.1,308.1,1479,40.7,10,0,0,0,0,0,0,0,9.0,6.3032,Fresh(0-50),0,0,0,0,0,0
L,299.1,308.2,1409,46.4,12,0,0,0,0,0,0,0,9.1,6.8458,Fresh(0-50),0,0,1,0,0,0
M,299.2,308.2,1674,28.2,14,0,0,0,0,0,0,1,9.0,4.9431,Fresh(0-50),0,0,0,0,0,0
L,299.1,308.3,1305,61.4,17,0,0,0,0,0,0,0,9.2,8.3903,Fresh(0-50),0,1,1,1,0,0
M,299.2,308.3,1755,26.4,19,0,0,0,0,0,0,1,9.1,4.8515,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.4,1475,38.7,22,0,0,0,0,0,0,0,9.2,5.9772,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.4,1402,47.7,24,0,0,0,0,0,0,0,9.2,7.0027,Fresh(0-50),0,1,1,1,0,0
L,299.2,308.3,1410,43.0,26,0,0,0,0,0,0,0,9.1,6.3487,Fresh(0-50),0,0,1,0,0,0
L,299.2,308.4,1436,41.8,28,0,0,0,0,0,0,0,9.2,6.2853,Fresh(0-50),0,0,0,0,0,0
M,299.3,308.5,1386,42.2,30,0,0,0,0,0,0,1,9.2,6.1245,Fresh(0-50),0,0,1,0,0,0
L,299.3,308.6,1744,26.4,33,0,0,0,0,0,0,0,9.3,4.8211,Fresh(0-50),0,0,0,0,0,0
L,299.2,308.4,1393,48.4,35,0,0,0,0,0,0,0,9.2,7.0598,Fresh(0-50),0,1,1,1,0,0
M,299.3,308.5,1422,45.4,37,0,0,0,0,0,0,1,9.2,6.7601,Fresh(0-50),0,0,1,0,0,0
L,299.2,308.4,1841,22.8,40,0,0,0,0,0,0,0,9.2,4.3953,Fresh(0-50),0,0,0,0,0,0
L,299.3,308.6,1433,37.7,42,0,0,0,0,0,0,0,9.3,5.657,Fresh(0-50),0,0,0,0,0,0
M,299.3,308.5,1305,60.6,44,0,0,0,0,0,0,1,9.2,8.2809,Fresh(0-50),0,1,1,1,0,0
H,299.3,308.6,1498,39.5,47,0,0,0,0,0,0,2,9.3,6.1959,Fresh(0-50),0,0,0,0,0,0
L,299.3,308.5,1772,26.1,52,0,0,0,0,0,0,0,9.2,4.8428,Low(51-100),0,0,0,0,0,0
M,299.2,308.4,1381,42.5,54,0,0,0,0,0,0,1,9.2,6.1458,Low(51-100),0,0,1,0,0,0
L,299.3,308.5,1413,38.5,57,0,0,0,0,0,0,0,9.2,5.6964,Low(51-100),0,0,1,0,0,0
H,299.2,308.4,1388,53.2,59,0,0,0,0,0,0,2,9.2,7.7321,Low(51-100),0,1,1,1,0,0
M,299.2,308.6,1631,35.4,64,0,0,0,0,0,0,1,9.4,6.0458,Low(51-100),0,0,0,0,0,0
H,299.3,308.6,1520,41.4,67,0,0,0,0,0,0,2,9.3,6.5893,Low(51-100),0,0,0,0,0,0
L,299.3,308.5,1510,45.4,72,0,0,0,0,0,0,0,9.2,7.1784,Low(51-100),0,0,0,0,0,0
L,299.2,308.5,1366,49.7,74,0,0,0,0,0,0,0,9.3,7.1089,Low(51-100),0,1,1,1,0,0
L,299.4,308.5,1845,22.9,76,0,0,0,0,0,0,0,9.1,4.4241,Low(51-100),0,0,0,0,0,0
L,299.3,308.5,1485,44.7,78,0,0,0,0,0,0,0,9.2,6.9507,Low(51-100),0,0,0,0,0,0
M,299.3,308.5,1496,39.4,80,0,0,0,0,0,0,1,9.2,6.172,Low(51-100),0,0,0,0,0,0
M,299.3,308.4,1468,42.2,83,0,0,0,0,0,0,1,9.1,6.4869,Low(51-100),0,0,0,0,0,0
M,299.2,308.4,1856,22.7,86,0,0,0,0,0,0,1,9.2,4.4116,Low(51-100),0,0,0,0,0,0
L,299.2,308.4,1620,34.1,89,0,0,0,0,0,0,0,9.2,5.7845,Low(51-100),0,0,0,0,0,0
L,299.3,308.5,1409,44.8,91,0,0,0,0,0,0,0,9.2,6.6098,Low(51-100),0,0,1,0,0,0
M,299.3,308.5,1404,49.4,93,0,0,0,0,0,0,1,9.2,7.2626,Low(51-100),0,1,1,1,0,0
L,299.2,308.4,1350,51.3,96,0,0,0,0,0,0,0,9.2,7.2518,Low(51-100),0,1,1,1,0,0
M,299.2,308.4,1538,38.0,98,0,0,0,0,0,0,1,9.2,6.1198,Low(51-100),0,0,0,0,0,0
M,299.2,308.4,1476,32.7,101,0,0,0,0,0,0,1,9.2,5.0539,Medium(101-150),0,0,0,0,0,0
M,299.2,308.3,1364,51.8,104,0,0,0,0,0,0,1,9.1,7.3985,Medium(101-150),0,1,1,1,0,0
M,299.2,308.3,1582,45.5,107,0,0,0,0,0,0,1,9.1,7.5373,Medium(101-150),0,0,0,0,0,0
L,299.1,308.2,1348,56.1,110,0,0,0,0,0,0,0,9.1,7.9186,Medium(101-150),0,1,1,1,0,0
H,299.1,308.2,1450,46.1,112,0,0,0,0,0,0,2,9.1,6.9995,Medium(101-150),0,0,0,0,0,0
L,299.0,308.1,1242,60.9,117,0,0,0,0,0,0,0,9.1,7.9202,Medium(101-150),0,1,1,1,0,0
L,299.1,308.2,1493,34.9,119,0,0,0,0,0,0,0,9.1,5.4561,Medium(101-150),0,0,0,0,0,0
L,299.1,308.3,1601,31.4,121,0,0,0,0,0,0,0,9.2,5.264,Medium(101-150),0,0,0,0,0,0
L,299.1,308.2,1568,33.3,123,0,0,0,0,0,0,0,9.1,5.4675,Medium(101-150),0,0,0,0,0,0
M,299.1,308.3,1506,38.0,125,0,0,0,0,0,0,1,9.2,5.9925,Medium(101-150),0,0,0,0,0,0
L,299.1,308.3,1524,34.1,128,0,0,0,0,0,0,0,9.2,5.4417,Medium(101-150),0,0,0,0,0,0
L,299.1,308.4,1543,37.9,130,0,0,0,0,0,0,0,9.3,6.1235,Medium(101-150),0,0,0,0,0,0
M,299.2,308.5,1474,47.2,132,0,0,0,0,0,0,1,9.3,7.2851,Medium(101-150),0,1,0,0,0,0
M,299.2,308.5,1526,37.3,135,0,0,0,0,0,0,1,9.3,5.9602,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1867,27.0,138,0,0,0,0,0,0,0,9.3,5.2784,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1487,41.2,140,0,0,0,0,0,0,0,9.3,6.4151,Medium(101-150),0,0,0,0,0,0
L,299.2,308.4,1580,32.6,142,0,0,0,0,0,0,0,9.2,5.3935,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1340,50.0,144,0,0,0,0,0,0,0,9.3,7.0157,Medium(101-150),0,1,1,1,0,0
L,299.2,308.5,1544,41.6,146,0,0,0,0,0,0,0,9.3,6.7257,Medium(101-150),0,0,0,0,0,0
L,299.2,308.5,1488,40.3,148,0,0,0,0,0,0,0,9.3,6.2792,Medium(101-150),0,0,0,0,0,0
M,299.2,308.5,1742,28.9,150,0,0,0,0,0,0,1,9.3,5.2716,Medium(101-150),0,0,0,0,0,0
M,299.1,308.5,1592,34.2,153,0,0,0,0,0,0,1,9.4,5.7012,High(151-200),0,0,0,0,0,0
L,299.2,308.6,1582,38.8,156,0,0,0,0,0,0,0,9.4,6.4274,High(151-200),0,0,0,0,0,0
L,299.2,308.5,1490,43.2,158,0,0,0,0,0,0,0,9.3,6.7401,High(151-200),0,0,0,0,0,0
M,299.2,308.5,1594,35.8,160,0,0,0,0,0,0,1,9.3,5.9754,High(151-200),0,0,0,0,0,0
H,299.2,308.6,1462,55.0,163,0,0,0,0,0,0,2,9.4,8.4199,High(151-200),0,1,0,0,0,0
M,299.2,308.6,1367,47.6,168,0,0,0,0,0,0,1,9.4,6.8135,High(151-200),0,1,1,1,0,0
L,299.2,308.7,1325,51.0,171,0,0,0,0,0,0,0,9.5,7.0759,High(151-200),0,1,1,1,0,0
H,299.2,308.7,1448,51.4,173,0,0,0,0,0,0,2,9.5,7.7934,High(151-200),0,1,0,0,0,0
M,299.1,308.7,2008,20.3,178,0,0,0,0,0,0,1,9.6,4.2683,High(151-200),0,0,0,0,0,0
L,299.1,308.7,1498,38.9,181,0,0,0,0,0,0,0,9.6,6.1018,High(151-200),0,0,0,0,0,0
L,299.1,308.6,1437,41.6,183,0,0,0,0,0,0,0,9.5,6.2596,High(151-200),0,0,0,0,0,0
M,299.1,308.6,1499,45.1,185,0,0,0,0,0,0,1,9.5,7.079,High(151-200),0,0,0,0,0,0
L,299.0,308.4,1356,52.6,188,0,0,0,0,0,0,0,9.4,7.4686,High(151-200),0,1,1,1,0,0
L,299.1,308.5,1539,46.8,190,0,0,0,0,0,0,0,9.4,7.5419,High(151-200),0,0,0,0,0,0
L,299.1,308.5,1689,32.1,192,0,0,0,0,0,0,0,9.4,5.6772,High(151-200),0,0,0,0,0,0
L,299.0,308.5,1559,38.1,194,0,0,0,0,0,0,0,9.5,6.2197,High(151-200),0,0,0,0,0,0
L,299.1,308.6,1408,46.7,196,0,0,0,0,0,0,0,9.5,6.8852,High(151-200),0,0,1,0,0,0
L,299.0,308.5,1886,23.0,198,0,0,0,0,0,0,0,9.5,4.5422,High(151-200),0,0,0,0,0,0
L,299.1,308.5,1415,43.4,0,0,0,0,0,0,0,0,9.4,6.4305,Fresh(0-50),0,0,1,0,0,0
M,299.1,308.5,1587,35.6,2,0,0,0,0,0,0,1,9.4,5.9159,Fresh(0-50),0,0,0,0,0,0
L,299.0,308.4,1571,38.6,5,0,0,0,0,0,0,0,9.4,6.3498,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.3,1576,36.6,7,0,0,0,0,0,0,0,9.4,6.04,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.3,1660,34.4,9,0,0,0,0,0,0,0,9.4,5.9795,Fresh(0-50),0,0,0,0,0,0
M,298.9,308.2,1328,49.2,11,0,0,0,0,0,0,1,9.3,6.8416,Fresh(0-50),0,1,1,1,0,0
H,298.8,308.2,1450,44.7,14,0,0,0,0,0,0,2,9.4,6.7869,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.2,2384,15.0,19,0,0,0,0,0,0,0,9.3,3.7445,Fresh(0-50),0,0,0,0,0,0
L,298.8,308.2,1443,53.4,21,0,0,0,0,0,0,0,9.4,8.0687,Fresh(0-50),0,1,0,0,0,0
M,298.9,308.2,2022,20.0,23,0,0,0,0,0,0,1,9.3,4.2346,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.2,1828,23.8,26,0,0,0,0,0,0,0,9.3,4.5556,Fresh(0-50),0,0,0,0,0,0
L,298.8,308.1,1472,53.5,28,0,0,0,0,0,0,0,9.3,8.2463,Fresh(0-50),0,1,0,0,0,0
M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0,1,9.3,9.1371,Fresh(0-50),0,1,1,1,0,1
L,298.9,308.3,1855,23.8,33,0,0,0,0,0,0,0,9.4,4.6229,Fresh(0-50),0,0,0,0,0,0
M,299.0,308.3,1377,47.2,35,0,0,0,0,0,0,1,9.3,6.8057,Fresh(0-50),0,1,1,1,0,0
L,298.9,308.3,1432,48.9,38,0,0,0,0,0,0,0,9.4,7.3324,Fresh(0-50),0,1,0,0,0,0
M,298.9,308.2,1335,47.8,40,0,0,0,0,0,0,1,9.3,6.682,Fresh(0-50),0,1,1,1,0,0
M,298.9,308.2,1411,51.3,43,0,0,0,0,0,0,1,9.3,7.5795,Fresh(0-50),0,1,1,1,0,0
L,298.9,308.2,1510,43.5,46,0,0,0,0,0,0,0,9.3,6.878,Fresh(0-50),0,0,0,0,0,0
L,299.0,308.3,1441,44.0,48,0,0,0,0,0,0,0,9.3,6.6392,Fresh(0-50),0,0,0,0,0,0
M,299.0,308.2,1358,42.7,50,0,0,0,0,0,0,1,9.2,6.0719,Fresh(0-50),0,0,1,0,0,0
L,298.9,308.2,1686,30.4,53,0,0,0,0,0,0,0,9.3,5.367,Low(51-100),0,0,0,0,0,0
H,299.0,308.2,1662,30.4,55,0,0,0,0,0,0,2,9.2,5.2906,Low(51-100),0,0,0,0,0,0
L,299.1,308.3,1426,40.1,60,0,0,0,0,0,0,0,9.2,5.9877,Low(51-100),0,0,0,0,0,0
M,299.1,308.4,1330,53.6,62,0,0,0,0,0,0,1,9.3,7.4647,Low(51-100),0,1,1,1,0,0
L,299.1,308.4,1693,31.6,65,0,0,0,0,0,0,0,9.3,5.602,Low(51-100),0,0,0,0,0,0
L,299.1,308.4,1426,47.9,67,0,0,0,0,0,0,0,9.3,7.1524,Low(51-100),0,1,0,0,0,0
L,299.1,308.5,1676,31.0,69,0,0,0,0,0,0,0,9.4,5.4404,Low(51-100),0,0,0,0,0,0
M,299.1,308.4,1332,51.7,71,0,0,0,0,0,0,1,9.3,7.2109,Low(51-100),0,1,1,1,0,0
L,299.1,308.5,1647,35.0,74,0,0,0,0,0,0,0,9.4,6.0361,Low(51-100),0,0,0,0,0,0
L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0,0,9.4,9.0481,Low(51-100),0,1,1,1,0,1
H,299.2,308.7,1375,55.1,78,0,0,0,0,0,0,2,9.5,7.9332,Low(51-100),0,1,1,1,0,0
L,299.3,308.6,1422,48.9,83,0,0,0,0,0,0,0,9.3,7.2812,Low(51-100),0,1,1,1,0,0
L,299.3,308.7,1408,48.7,85,0,0,0,0,0,0,0,9.4,7.1801,Low(51-100),0,1,1,1,0,0
L,299.4,308.9,1440,42.5,87,0,0,0,0,0,0,0,9.5,6.4084,Low(51-100),0,0,0,0,0,0
L,299.3,308.8,1772,25.2,89,0,0,0,0,0,0,0,9.5,4.6759,Low(51-100),0,0,0,0,0,0
L,299.2,308.7,1492,37.8,91,0,0,0,0,0,0,0,9.5,5.9055,Low(51-100),0,0,0,0,0,0
L,299.2,308.7,1650,30.5,93,0,0,0,0,0,0,0,9.5,5.2696,Low(51-100),0,0,0,0,0,0
M,299.1,308.6,2329,14.6,95,0,0,0,0,0,0,1,9.5,3.5606,Low(51-100),0,0,0,0,0,0
L,299.0,308.6,1648,30.8,98,0,0,0,0,0,0,0,9.6,5.315,Low(51-100),0,0,0,0,0,0
L,299.0,308.6,1653,31.7,100,0,0,0,0,0,0,0,9.6,5.4869,Low(51-100),0,0,0,0,0,0
L,299.0,308.6,1946,22.3,102,0,0,0,0,0,0,0,9.6,4.5441,Medium(101-150),0,0,0,0,0,0
L,299.1,308.6,1555,36.6,104,0,0,0,0,0,0,0,9.5,5.9595,Medium(101-150),0,0,0,0,0,0
L,299.0,308.6,1661,32.2,106,0,0,0,0,0,0,0,9.6,5.6004,Medium(101-150),0,0,0,0,0,0
L,299.0,308.6,1434,45.9,108,0,0,0,0,0,0,0,9.6,6.8922,Medium(101-150),0,0,0,0,0,0
L,299.0,308.6,1297,54.2,110,0,0,0,0,0,0,0,9.6,7.361,Medium(101-150),0,1,1,1,0,0
L,299.0,308.6,1466,46.4,112,0,0,0,0,0,0,0,9.6,7.1228,Medium(101-150),0,0,0,0,0,0
M,298.9,308.6,1517,39.8,114,0,0,0,0,0,0,1,9.7,6.3222,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,0,9.6,6.2931,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1580,39.1,119,0,0,0,0,0,0,0,9.6,6.4689,Medium(101-150),0,0,0,0,0,0
M,298.9,308.5,1534,42.9,121,0,0,0,0,0,0,1,9.6,6.891,Medium(101-150),0,0,0,0,0,0
L,298.9,308.6,1481,40.7,124,0,0,0,0,0,0,0,9.7,6.3117,Medium(101-150),0,0,0,0,0,0
L,299.0,308.6,1429,37.7,126,0,0,0,0,0,0,0,9.6,5.6412,Medium(101-150),0,0,0,0,0,0
M,298.9,308.6,1574,33.5,128,0,0,0,0,0,0,1,9.7,5.5214,Medium(101-150),0,0,0,0,0,0
M,298.9,308.6,1524,40.4,131,0,0,0,0,0,0,1,9.7,6.4471,Medium(101-150),0,0,0,0,0,0
L,299.0,308.7,1507,37.5,134,0,0,0,0,0,0,0,9.7,5.9175,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1467,44.7,136,0,0,0,0,0,0,0,9.6,6.8665,Medium(101-150),0,0,0,0,0,0
L,298.9,308.4,1301,51.1,138,0,0,0,0,0,0,0,9.5,6.9614,Medium(101-150),0,1,1,1,0,0
L,298.9,308.5,1429,55.1,140,0,0,0,0,0,0,0,9.6,8.2448,Medium(101-150),0,1,0,0,0,0
M,298.9,308.5,1555,37.6,142,0,0,0,0,0,0,1,9.6,6.1223,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1503,40.6,145,0,0,0,0,0,0,0,9.6,6.3897,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1459,43.1,147,0,0,0,0,0,0,0,9.6,6.5846,Medium(101-150),0,0,0,0,0,0
H,298.9,308.4,1449,42.4,149,0,0,0,0,0,0,2,9.5,6.4333,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1387,57.3,154,0,0,0,0,0,0,0,9.6,8.322,High(151-200),0,1,1,1,0,0
M,298.9,308.5,1456,50.0,156,0,0,0,0,0,0,1,9.6,7.623,High(151-200),0,1,0,0,0,0
L,299.0,308.5,1604,34.7,159,0,0,0,0,0,0,0,9.5,5.8281,High(151-200),0,0,0,0,0,0
L,299.0,308.6,1734,32.4,161,0,0,0,0,0,0,0,9.6,5.8829,High(151-200),0,0,0,0,0,0
L,299.0,308.6,1378,47.8,163,0,0,0,0,0,0,0,9.6,6.8972,High(151-200),0,1,1,1,0,0
L,298.9,308.7,1504,41.8,165,0,0,0,0,0,0,0,9.8,6.583,High(151-200),0,0,0,0,0,0
